source,target,importance
CENPA,CENPA,1.0
XXbac-BPG55C20.7,RP11-195B17.1,0.4277666
LINC00515,RP11-195B17.1,0.42791617
RP11-195B17.1,RP11-195B17.1,1.0
KHK,KHK,0.99999416
ATRAID,ATRAID,1.0
SLC30A3,SLC30A3,1.0
UCN,UCN,0.99999815
EIF2B4,EIF2B4,1.0
ZNF513,ZNF513,0.9999958
NRBP1,NRBP1,0.9999959
FNDC4,FNDC4,1.0
ZNF512,ZNF512,0.9999977
SUPT7L,SUPT7L,0.9999939
SLC4A1AP,SLC4A1AP,0.99999267
RBKS,RBKS,0.9999919
FOSL2,FOSL2,1.0
RP11-580I16.2,AC097724.3,0.4101752
EXTL3-AS1,AC097724.3,0.44090208
AC097724.3,AC097724.3,0.9999959
PPP1CB,PPP1CB,0.9999935
KLHL3,SPDYA,0.43076462
SPDYA,SPDYA,1.0
RP11-80A15.1,RP11-713D19.1,0.41500166
RP11-713D19.1,RP11-713D19.1,0.9999931
WDR43,WDR43,0.99999815
YPEL5,YPEL5,1.0
RP11-1057B6.1,RP11-1057B6.1,1.0
SPAST,SPAST,1.0
RP11-563N4.1,RP11-563N4.1,0.99999356
BIRC6,BIRC6,0.99999887
LTBP1,LTBP1,1.0
TXNDC2,RASGRP3,0.41227838
RASGRP3,RASGRP3,0.99999666
RP11-490M8.1,RP11-490M8.1,1.0
EIF2AK2,EIF2AK2,1.0
NDUFAF7,NDUFAF7,1.0
RMDN2,RMDN2,0.9999969
SRSF7,SRSF7,1.0
DHX57,DHX57,0.9999885
AC007246.3,AC007246.3,1.0
THUMPD2,THUMPD2,0.99999684
KCNG3,KCNG3,0.99999774
THADA,THADA,1.0
PLEKHH2,PLEKHH2,0.99999535
RP11-559M23.1,RP11-559M23.1,1.0
PPM1B,PPM1B,1.0
SIX2,SIX2,0.9999931
PRKCE,PRKCE,0.9999907
SOCS5,SOCS5,1.0
