source,target,importance
ARSG,ARSG,0.9999447
ARSK,ARSK,1.0
ART5,ART5,0.99998146
ARTN,ARTN,0.99999326
ARV1,ARV1,1.0
ARVCF,ARVCF,0.9999703
ASAH1,ASAH1,0.9999829
ASAH2,ASAH2,1.0
ASAH2B,ASAH2B,1.0
ASAP1,ASAP1,1.0
ASAP3,ASAP3,1.0
ASB1,ASB1,1.0
ASB13,ASB13,1.0
ASB18,ASB18,0.999999
ASB3,ASB3,0.9999974
ASB6,ASB6,1.0
ASB7,ASB7,0.9999955
ASB8,ASB8,1.0
ASCC1,ASCC1,1.0
ASCC2,ASCC2,1.0
ASCC3,ASCC3,0.99999213
ASCL2,ASCL2,0.9999699
ASF1A,ASF1A,1.0
ASF1B,ASF1B,1.0
ASGR1,ASGR1,0.9999874
ASH1L,ASH1L,1.0
ASH2L,ASH2L,0.99999815
ASIC1,ASIC1,1.0
ASIC3,ASIC3,0.9999812
ASIC4,ASIC4,0.99999946
ASL,ASL,0.999964
ASMTL,ASMTL,0.9999524
ASNS,ASNS,1.0
ASNSD1,ASNSD1,1.0
ASPDH,ASPDH,1.0
ASPH,ASPH,1.0
SULT1A2,ASPHD1,0.44363034
ASPHD1,ASPHD1,1.0
ASPHD2,ASPHD2,1.0
ASPM,ASPM,1.0
ASPRV1,ASPRV1,0.999972
ASPSCR1,ASPSCR1,0.99996215
ASRGL1,ASRGL1,1.0
ASS1,ASS1,1.0
ASTE1,ASTE1,1.0
ASTN1,ASTN1,0.9999819
ASTN2,ASTN2,1.0
ASXL1,ASXL1,0.9999719
ASXL2,ASXL2,1.0
ATAD1,ATAD1,1.0
ATAD2,ATAD2,0.9999646
ATAD2B,ATAD2B,0.9999786
ATAD3A,ATAD3A,0.9999984
ATAD3B,ATAD3B,1.0
ATAD5,ATAD5,0.999982
ATAT1,ATAT1,1.0
ATE1,ATE1,0.9999969
ATF1,ATF1,0.99996555
ATF2,ATF2,0.9999716
DDIT4,ATF3,0.47499833
ATF3,ATF3,1.0
ATF4,ATF4,1.0
ATF5,ATF5,0.9999895
ATF6,ATF6,1.0
ATF6B,ATF6B,0.9999794
ATF7,ATF7,1.0
ATF7IP,ATF7IP,1.0
ATF7IP2,ATF7IP2,0.99999326
ATG10,ATG10,0.9999846
ATG101,ATG101,1.0
ATG12,ATG12,1.0
ATG13,ATG13,0.99999136
ATG14,ATG14,0.9999676
ATG16L1,ATG16L1,0.9999813
ATG16L2,ATG16L2,0.99994767
ATG2A,ATG2A,1.0
ATG2B,ATG2B,1.0
ATG3,ATG3,0.999989
ATG4A,ATG4A,1.0
ATG4B,ATG4B,1.0
ATG4C,ATG4C,0.9999943
ATG4D,ATG4D,1.0
ATG5,ATG5,0.9999931
ATG7,ATG7,0.99998546
ATG9A,ATG9A,1.0
ATG9B,ATG9B,1.0
ATIC,ATIC,1.0
CD14,ATL1,0.47159863
ATL1,ATL1,0.99998444
ATL2,ATL2,0.99997646
ATL3,ATL3,0.99999267
ATM,ATM,1.0
ATMIN,ATMIN,0.99995387
ATN1,ATN1,1.0
FADS6,ATOH7,0.44082853
ATOH7,ATOH7,1.0
ATOX1,ATOX1,0.99999726
